airport name,airport,day,month,year,mean temp,mean wind speed,rain,snow,thunder,tornado
Hartsfield Jackson Atlanta International Airport,ATL,16,3,2008,57,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,3,2008,56,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,3,2008,62,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,3,2008,58,16,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,3,2008,50,16,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,3,2008,54,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,3,2008,61,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,3,2008,48,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,3,2008,41,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,3,2008,44,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,3,2008,54,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,3,2008,60,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,3,2008,63,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,3,2008,63,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,30,3,2008,47,15,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,31,3,2008,50,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,4,2008,65,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,4,2008,67,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,4,2008,57,14,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,4,2008,59,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,5,4,2008,59,6,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,4,2008,60,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,4,2008,59,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,4,2008,63,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,4,2008,62,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,4,2008,66,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,4,2008,73,11,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,12,4,2008,60,9,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,13,4,2008,51,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,4,2008,43,12,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,4,2008,50,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,4,2008,55,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,4,2008,62,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,4,2008,64,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,4,2008,65,9,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,4,2008,62,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,4,2008,63,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,4,2008,66,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,4,2008,68,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,4,2008,68,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,4,2008,72,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,4,2008,71,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,27,4,2008,65,5,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,4,2008,60,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,29,4,2008,53,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,4,2008,59,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,5,2008,67,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,5,2008,70,12,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,5,2008,65,9,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,4,5,2008,69,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,5,2008,66,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,5,2008,67,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,5,2008,71,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,5,2008,74,11,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,5,2008,72,8,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,5,2008,74,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,5,2008,67,16,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,12,5,2008,62,15,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,5,2008,63,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,5,2008,65,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,5,2008,67,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,5,2008,65,12,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,5,2008,61,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,5,2008,68,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,19,5,2008,70,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,5,2008,75,13,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,21,5,2008,67,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,5,2008,70,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,5,2008,76,3,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,24,5,2008,75,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,5,2008,73,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,5,2008,72,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,5,2008,76,5,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,5,2008,76,6,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,5,2008,68,8,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,5,2008,74,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,31,5,2008,79,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,6,2008,78,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,6,2008,79,6,0,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,3,6,2008,79,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,6,2008,82,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,6,2008,82,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,6,2008,84,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,6,2008,84,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,6,2008,85,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,6,2008,85,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,10,6,2008,80,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,6,2008,82,5,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,12,6,2008,79,9,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,6,2008,80,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,6,2008,81,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,15,6,2008,81,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,6,2008,81,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,6,2008,80,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,6,2008,74,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,6,2008,74,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,6,2008,76,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,6,2008,76,4,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,22,6,2008,80,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,23,6,2008,79,9,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,6,2008,79,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,6,2008,83,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,6,2008,83,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,27,6,2008,82,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,6,2008,81,8,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,29,6,2008,77,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,30,6,2008,78,12,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,7,2008,74,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,7,2008,75,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,7,2008,80,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,7,2008,81,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,5,7,2008,79,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,6,7,2008,75,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,7,7,2008,79,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,8,7,2008,81,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,9,7,2008,81,8,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,10,7,2008,79,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,11,7,2008,81,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,12,7,2008,82,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,7,2008,78,4,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,14,7,2008,80,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,7,2008,79,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,7,2008,80,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,7,2008,79,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,7,2008,80,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,7,2008,82,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,7,2008,84,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,7,2008,84,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,22,7,2008,81,7,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,23,7,2008,78,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,7,2008,79,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,7,2008,80,3,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,26,7,2008,80,3,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,27,7,2008,81,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,7,2008,84,4,0,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,29,7,2008,83,5,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,30,7,2008,81,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,31,7,2008,80,11,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,1,8,2008,80,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,8,2008,80,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,3,8,2008,82,5,0,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,4,8,2008,82,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,8,2008,84,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,8,2008,85,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,8,2008,82,8,0,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,8,8,2008,78,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,8,2008,75,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,8,2008,76,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,8,2008,80,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,12,8,2008,75,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,8,2008,74,5,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,8,2008,76,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,8,2008,77,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,8,2008,78,5,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,17,8,2008,78,6,0,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,18,8,2008,78,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,8,2008,80,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,8,2008,80,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,8,2008,79,14,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,8,2008,77,20,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,8,2008,75,22,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,8,2008,77,14,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,25,8,2008,74,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,8,2008,78,11,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,8,2008,76,8,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,8,2008,77,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,8,2008,78,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,8,2008,80,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,31,8,2008,80,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,9,2008,78,13,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,9,2008,78,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,9,2008,75,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,9,2008,75,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,9,2008,78,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,9,2008,77,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,7,9,2008,79,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,9,2008,81,4,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,9,9,2008,80,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,9,2008,80,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,9,2008,78,12,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,12,9,2008,80,8,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,9,2008,80,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,9,2008,80,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,9,2008,73,9,0,0,0,0
